Team_ID,Team
ALG,Algeria
ANG,Angola
ARG,Argentina
AUS,Australia
AUT,Austria
BEL,Belgium
BOL,Bolivia
BOS,Bosnia and Herzegovina
BRA,Brazil
BUL,Bulgaria
CAM,Cameroon
CAN,Canada
CHI,Chile
CHN,China
COL,Colombia
COS,Costa Rica
CRO,Croatia
CZR,Czech Republic
CZE,Czechoslovakia
DEN,Denmark
EAS,East Germany
ECU,Ecuador
EGY,Egypt
SAL,El Salvador
ENG,England
FRY,FR Yugoslavia
FRA,France
GER,Germany
GHA,Ghana
GRE,Greece
HAI,Haiti
HON,Honduras
HUN,Hungary
ICE,Iceland
IRA,Iran
IRQ,Iraq
ISR,Israel
ITA,Italy
IVO,Ivory Coast
JAM,Jamaica
JAP,Japan
KUW,Kuwait
MEX,Mexico
MOR,Morocco
NET,Netherlands
NEW,New Zealand
NIG,Nigeria
NKO,North Korea
NIR,Northern Ireland
NOR,Norway
PAN,Panama
PAR,Paraguay
PER,Peru
POL,Poland
POR,Portugal
QAT,Qatar
REP,Republic of Ireland
ROM,Romania
RUS,Russia
SAU,Saudi Arabia
SCO,Scotland
SEN,Senegal
SER,Serbia
SAM,Serbia and Montenegro
SLK,Slovakia
SLN,Slovenia
RSA,South Africa
SKO,South Korea
SOV,Soviet Union
SPA,Spain
SWE,Sweden
SWI,Switzerland
TOG,Togo
TRI,Trinidad and Tobago
TUN,Tunisia
TUR,Turkey
UKR,Ukraine
UAE,United Arab Emirates
USA,United States
URU,Uruguay
WAL,Wales
WES,West Germany
YUG,Yugoslavia
ZAI,Zaire
CUB,Cuba
DEI,Dutch East Indies
CPR,China PR
Draw,Match Drawn
